state,date,positive,negative,total,recovered,death,totalTestResults,Location,Governor.Political.Affiliation,State.Senate.Majority.Political.Affiliation,State.House.Majority.Political.Affiliation,State.Attorney.General.Political.Affiliation,State.Insurance.Commissioner.Political.Affiliation,StateClosureStartDate,closed,Region,POPESTIMATE2019,ClosureDateCat
IL,2020-05-01,56055,228633,284688,NA,2457,284688,Illinois,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-17,TRUE,North Central,12671821,Middle
IN,2020-05-01,18630,81009,99639,NA,1175,99639,Indiana,Republican,Republican,Republican,Republican,Appointed,2020-03-19,TRUE,North Central,6732219,Late
KS,2020-05-01,4449,28585,33034,280,130,33034,Kansas,Democrat,Republican,Republican,Republican,Republican,2020-03-18,TRUE,North Central,2913314,Middle
KY,2020-05-01,4708,51904,56612,1675,240,56612,Kentucky,Democrat,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,South,4467673,Early
LA,2020-05-01,28711,139540,168251,17303,1927,168251,Louisiana,Democrat,Republican,Republican,Republican,Republican,2020-03-16,TRUE,South,4648794,Early
MA,2020-05-01,64311,225325,289636,NA,3716,289636,Massachusetts,Republican,Democrat,Democrat,Democrat,Appointed,2020-03-17,TRUE,Northeast,6892503,Middle
MD,2020-05-01,23472,97511,120983,1517,1192,120983,Maryland,Republican,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,South,6045680,Early
ME,2020-05-01,1123,19546,20669,657,55,20669,Maine,Democrat,Democrat,Democrat,Appointed,Appointed,2020-04-02,TRUE,Northeast,1344212,Late
MI,2020-05-01,42356,148149,190505,8342,3866,190505,Michigan,Democrat,Republican,Republican,Democrat,Appointed,2020-03-16,TRUE,North Central,9986857,Early
MN,2020-05-01,5730,69099,74829,2282,371,74829,Minnesota,Democrat,Republican,Democrat,Democrat,Appointed,2020-03-18,TRUE,North Central,5639632,Middle
MO,2020-05-01,7835,74590,82425,NA,337,82425,Missouri,Republican,Republican,Republican,Appointed,Appointed,2020-03-19,TRUE,North Central,6137428,Late
MS,2020-05-01,7212,64336,71548,3413,281,71548,Mississippi,Republican,Republican,Republican,Democrat,Republican,2020-03-20,TRUE,South,2976149,Late
MT,2020-05-01,453,13750,14203,397,16,14203,Montana,Democrat,Republican,Republican,Republican,Republican,2020-03-16,TRUE,West,1068778,Early
NC,2020-05-01,10923,122909,133832,NA,399,133832,North Carolina,Democrat,Republican,Republican,Democrat,Republican,2020-03-16,TRUE,South,10488084,Early
ND,2020-05-01,1107,28418,29525,482,23,29525,North Dakota,Republican,Republican,Republican,Republican,Republican,2020-03-16,TRUE,North Central,762062,Early
NE,2020-05-01,4281,23104,27385,NA,70,27385,Nebraska,Republican,N/A,N/A,Republican,Appointed,2020-03-23,TRUE,North Central,1934408,Late
NH,2020-05-01,2146,19903,22351,980,72,22049,New Hampshire,Republican,Democrat,Democrat,Appointed,Appointed,2020-03-16,TRUE,Northeast,1359711,Early
NJ,2020-05-01,121190,135355,257128,15642,7538,256545,New Jersey,Democrat,Democrat,Democrat,Appointed,Appointed,2020-03-18,TRUE,Northeast,8882190,Middle
NM,2020-05-01,3411,64458,67869,760,123,67869,New Mexico,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,West,2096829,Early
NV,2020-05-01,5227,38368,43595,182,243,43595,Nevada,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,West,3080156,Early
NY,2020-05-01,308314,619124,927438,56187,18610,927438,New York,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-18,TRUE,Northeast,19453561,Middle
OH,2020-05-01,18743,121763,140506,NA,1002,140506,Ohio,Republican,Republican,Republican,Republican,Appointed,2020-03-17,TRUE,North Central,11689100,Middle
OK,2020-05-01,3748,59804,63552,2467,230,63552,Oklahoma,Republican,Republican,Republican,Republican,Republican,2020-03-17,TRUE,South,3956971,Middle
OR,2020-05-01,2579,55597,58176,NA,104,58176,Oregon,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,West,4217737,Early
PA,2020-05-01,46971,180477,227448,NA,2354,227448,Pennsylvania,Democrat,Republican,Republican,Democrat,Appointed,2020-03-16,TRUE,Northeast,12801989,Early
RI,2020-05-01,8962,57686,66648,485,279,66648,Rhode Island,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-23,TRUE,Northeast,1059361,Late
SC,2020-05-01,6258,53121,59379,3622,256,59379,South Carolina,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,South,5148714,Middle
SD,2020-05-01,2525,14838,17363,1686,21,17363,South Dakota,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,North Central,884659,Middle
TN,2020-05-01,11891,174241,186132,5546,204,186132,Tennessee,Republican,Republican,Republican,Appointed,Appointed,2020-03-20,TRUE,South,6829174,Late
TX,2020-05-01,29229,322546,351775,14122,816,351775,Texas,Republican,Republican,Republican,Republican,Appointed,2020-03-23,TRUE,South,28995881,Late
UT,2020-05-01,4828,107730,112558,2062,46,112558,Utah,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,West,3205958,Middle
VA,2020-05-01,16901,88747,106116,2196,581,105648,Virginia,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,South,8535519,Middle
VT,2020-05-01,879,15354,16233,NA,50,16233,Vermont,Republican,Democrat,Democrat,Democrat,Appointed,2020-03-18,TRUE,Northeast,623989,Late
WA,2020-05-01,14327,179654,193981,NA,814,193981,Washington,Democrat,Democrat,Democrat,Democrat,Democrat,2020-03-17,TRUE,West,7614893,Middle
WI,2020-05-01,7314,72566,80098,3352,327,79880,Wisconsin,Democrat,Republican,Republican,Democrat,Appointed,2020-03-18,TRUE,North Central,5822434,Late
WV,2020-05-01,1136,45708,46844,555,46,46844,West Virginia,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,South,1792147,Middle
WY,2020-05-01,559,9136,9695,373,7,9695,Wyoming,Republican,Republican,Republican,Appointed,Appointed,2020-03-20,TRUE,West,578759,Late
AK,2020-04-30,355,18764,19119,252,9,19119,Alaska,Republican,Republican,Republican,Appointed,Appointed,2020-03-16,TRUE,West,731545,Early
AL,2020-04-30,7019,80177,87196,NA,269,87196,Alabama,Republican,Republican,Republican,Republican,Appointed,2020-03-19,TRUE,South,4903185,Late
AR,2020-04-30,3255,45124,48379,1305,61,48379,Arkansas,Republican,Republican,Republican,Republican,Appointed,2020-03-17,TRUE,South,3017804,Middle
AZ,2020-04-30,7648,64138,71786,1499,320,71786,Arizona,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,West,7278717,Early
CA,2020-04-30,48917,576420,625337,NA,1982,625337,California,Democrat,Democrat,Democrat,Democrat,Democrat,2020-03-19,TRUE,West,39512223,Late
CO,2020-04-30,14758,56301,71059,2415,766,71059,Colorado,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-23,TRUE,West,5758736,Late
CT,2020-04-30,27700,69433,97133,NA,2257,97133,Connecticut,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-17,TRUE,Northeast,3565287,Middle
DE,2020-04-30,4734,17086,21820,1275,152,21820,Delaware,Democrat,Democrat,Democrat,Democrat,Democrat,2020-03-16,TRUE,South,973764,Early
FL,2020-04-30,33690,348715,383592,NA,1290,382405,Florida,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,South,21477737,Early
GA,2020-04-30,26155,122889,149044,NA,1120,149044,Georgia,Republican,Republican,Republican,Republican,Appointed,2020-03-18,TRUE,South,10617423,Middle
HI,2020-04-30,613,30027,30640,516,16,30640,Hawaii,Democrat,Democrat,Democrat,Appointed,Appointed,2020-03-23,TRUE,West,1415872,Late
IA,2020-04-30,7145,35522,42667,2697,162,42667,Iowa,Republican,Republican,Republican,Democrat,Appointed,2020-03-16,TRUE,North Central,3155070,Early
ID,2020-04-30,1984,26709,28693,1121,60,28693,Idaho,Republican,Republican,Republican,Republican,Appointed,2020-03-23,TRUE,West,1787065,Late
IL,2020-04-30,52918,216949,269867,NA,2355,269867,Illinois,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-17,TRUE,North Central,12671821,Middle
IN,2020-04-30,17835,77163,94998,NA,1114,94998,Indiana,Republican,Republican,Republican,Republican,Appointed,2020-03-19,TRUE,North Central,6732219,Late
KS,2020-04-30,4238,27388,31626,272,129,31626,Kansas,Democrat,Republican,Republican,Republican,Republican,2020-03-18,TRUE,North Central,2913314,Middle
KY,2020-04-30,4539,49562,54101,1668,235,54101,Kentucky,Democrat,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,South,4467673,Early
LA,2020-04-30,28001,133308,161309,17303,1862,161309,Louisiana,Democrat,Republican,Republican,Republican,Republican,2020-03-16,TRUE,South,4648794,Early
MA,2020-04-30,62205,213442,275647,NA,3562,275647,Massachusetts,Republican,Democrat,Democrat,Democrat,Appointed,2020-03-17,TRUE,Northeast,6892503,Middle
MD,2020-04-30,21742,92617,114359,1432,1140,114359,Maryland,Republican,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,South,6045680,Early
ME,2020-04-30,1095,19546,20641,631,53,20641,Maine,Democrat,Democrat,Democrat,Appointed,Appointed,2020-04-02,TRUE,Northeast,1344212,Late
MI,2020-04-30,41379,138888,180267,8342,3789,180267,Michigan,Democrat,Republican,Republican,Democrat,Appointed,2020-03-16,TRUE,North Central,9986857,Early
MN,2020-04-30,5136,65140,70276,2172,343,70276,Minnesota,Democrat,Republican,Democrat,Democrat,Appointed,2020-03-18,TRUE,North Central,5639632,Middle
MO,2020-04-30,7562,73125,80687,NA,329,80687,Missouri,Republican,Republican,Republican,Appointed,Appointed,2020-03-19,TRUE,North Central,6137428,Late
MS,2020-04-30,6815,59525,66340,3413,261,66340,Mississippi,Republican,Republican,Republican,Democrat,Republican,2020-03-20,TRUE,South,2976149,Late
MT,2020-04-30,453,13461,13914,392,16,13914,Montana,Democrat,Republican,Republican,Republican,Republican,2020-03-16,TRUE,West,1068778,Early
