state,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,StateClosureStartDate,ClosureDateCat,Location,Governor.Political.Affiliation,State.Senate.Majority.Political.Affiliation,State.House.Majority.Political.Affiliation,State.Attorney.General.Political.Affiliation,State.Insurance.Commissioner.Political.Affiliation,closed,Region,POPESTIMATE2019,date_diff,percent_positive,positive_percent_change,percent_positive_percent_change,total_tests_percent_cange,hospitalized_percent_change,death_percent_change
MO,2020-05-02,8154,74590,NA,896,NA,NA,NA,141,NA,NA,5d91d52d238e224e1701f12b059257512e8aa32b,2020-05-02T20:00:00Z,351,NA,82744,82744,82744,29,14,0,0,319,319,2020-03-19,Late,Missouri,Republican,Republican,Republican,Appointed,Appointed,TRUE,North Central,6137428,44,0.09854490960069612,0.04071474154435226,0.03670251522016593,0.003870185016681832,NA,0.04154302670623145
MS,2020-05-02,7441,67034,NA,452,1265,142,NA,71,NA,3413,84eb25f0a177cd9e4499b4c2ae4fba53b75b2f37,2020-05-02T20:00:00Z,291,1265,74475,74475,74475,28,10,39,2698,229,2927,2020-03-20,Late,Mississippi,Republican,Republican,Republican,Democrat,Republican,TRUE,South,2976149,43,0.09991272239006378,0.03175263449805879,-0.00879708351968946,0.040909599150220834,0.03181076672104405,0.03558718861209965
MT,2020-05-02,455,14180,NA,5,61,NA,NA,NA,NA,404,e119f4ea8f8ee1fd1f3ea144c1dc6673485bce38,2020-05-02T20:00:00Z,16,61,14635,14635,14635,30,0,0,430,2,432,2020-03-16,Early,Montana,Democrat,Republican,Republican,Republican,Republican,TRUE,West,1068778,47,0.031089853091902972,0.004415011037527594,-0.025233593467991085,0.030416109272688868,0,0
NC,2020-05-02,11509,127966,NA,502,NA,NA,NA,NA,NA,NA,959d64e6f77bfb33d06f4cf57371edb604c42c9a,2020-05-02T20:00:00Z,420,NA,139475,139475,139475,37,21,0,5057,586,5643,2020-03-16,Early,North Carolina,Democrat,Republican,Republican,Democrat,Republican,TRUE,South,10488084,47,0.08251658003226385,0.053648265128627665,0.011018853296713513,0.04216480363440732,NA,0.05263157894736842
ND,2020-05-02,1153,30394,NA,32,90,NA,NA,NA,NA,510,8e97db2be523df23ca5167835506a368dd39c145,2020-05-02T20:00:00Z,24,90,31547,31547,31547,38,1,4,1976,46,2022,2020-03-16,Early,North Dakota,Republican,Republican,Republican,Republican,Republican,TRUE,North Central,762062,47,0.036548641709195806,0.04155374887082204,-0.02520446698283644,0.06848433530906012,0.046511627906976744,0.043478260869565216
NE,2020-05-02,4838,24510,NA,NA,NA,NA,NA,NA,NA,NA,aea5e40050f0173c357eb6690a3f096a75c39952,2020-05-02T20:00:00Z,73,NA,29348,29348,29348,31,3,0,1406,557,1963,2020-03-23,Late,Nebraska,Republican,N/A,N/A,Republican,Appointed,TRUE,North Central,1934408,40,0.16484939348507566,0.1301097874328428,0.05452011850151843,0.0716815775059339,NA,0.04285714285714286
NH,2020-05-02,2310,22039,159,103,270,NA,NA,NA,NA,980,47b2919e9a6e47ec81ab5308fb5acf13eec2fdae,2020-05-02T20:00:00Z,81,270,24508,24349,24349,33,9,8,2136,164,2300,2020-03-16,Early,New Hampshire,Republican,Democrat,Democrat,Appointed,Appointed,TRUE,Northeast,1359711,47,0.09425493716337523,0.07642124883504194,-0.018316823445014015,0.09650574918348172,0.030534351145038167,0.125
NJ,2020-05-02,123717,138595,676,5713,NA,1715,NA,1230,NA,15642,3bf57590e4bc42b23b19adc37b83f9a2442deed1,2020-05-02T20:00:00Z,7742,NA,262988,262312,262312,34,204,0,3240,2527,5767,2020-03-18,Middle,New Jersey,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,Northeast,8882190,45,0.4704283085159779,0.02085155540886212,-0.0018954514683390132,0.02279020565632681,NA,0.027062881400902097
NM,2020-05-02,3513,67605,NA,159,587,NA,NA,NA,NA,785,f4e293d6366aebda6444a3b91fbebeff161711b4,2020-05-02T20:00:00Z,131,587,71118,71118,71118,35,8,51,3147,102,3249,2020-03-16,Early,New Mexico,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,2096829,47,0.049396777187209986,0.02990325417766051,-0.017147505654353568,0.04787163506166291,0.09514925373134328,0.06504065040650407
NV,2020-05-02,5311,39076,NA,NA,NA,NA,NA,NA,NA,182,569ca2c7c2da2a7ac6f01a3f6c35b2a9ed7b534b,2020-05-02T20:00:00Z,254,NA,44387,44387,44387,32,11,0,708,84,792,2020-03-16,Early,Nevada,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,3080156,47,0.11965215040439768,0.016070403673235124,-0.0020594070690644764,0.018167221011583898,NA,0.04526748971193416
NY,2020-05-02,312977,646094,NA,10350,67890,NA,NA,NA,NA,57540,2fc5fe89aacccbac703dcb56bd0e841887f06bbc,2020-05-02T20:00:00Z,18909,67890,959071,959071,959071,36,299,710,26970,4663,31633,2020-03-18,Middle,New York,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,19453561,45,0.3263335039845851,0.015124191570930935,-0.018357608533014973,0.03410794036905971,0.010568621613575468,0.016066630843632454
OH,2020-05-02,19335,126484,NA,1003,3712,424,1066,267,NA,NA,1424cfdcb39530af6e025b5ab918a6c713b78c1d,2020-05-02T20:00:00Z,1021,3712,145819,145819,145819,39,19,78,4721,592,5313,2020-03-17,Middle,Ohio,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,11689100,46,0.13259588942456058,0.03158512511337566,-0.006001281553966916,0.03781333181501146,0.02146395156851954,0.018962075848303395
OK,2020-05-02,3851,59804,NA,236,743,92,NA,NA,NA,2554,02223f054e78abe2b2268d368f021a99f55bad06,2020-05-02T20:00:00Z,238,743,63655,63655,63655,40,8,28,0,103,103,2020-03-17,Middle,Oklahoma,Republican,Republican,Republican,Republican,Republican,TRUE,South,3956971,46,0.06049799701515984,0.027481323372465314,0.025818758096051244,0.001620720040281974,0.039160839160839164,0.034782608695652174
OR,2020-05-02,2635,57501,NA,209,595,50,NA,22,NA,NA,1e7172ad8335fe75b138259c9eb48a81c12bdba9,2020-05-02T20:00:00Z,109,595,60136,60136,60136,41,5,4,1904,56,1960,2020-03-16,Early,Oregon,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,4217737,47,0.043817347346015695,0.021713842574641335,-0.01158666961147731,0.033690869086908694,0.00676818950930626,0.04807692307692308
PA,2020-05-02,48305,187071,NA,2673,NA,NA,NA,571,NA,NA,589d97b93bc2e68f22fbc913102fb4bd7c81d171,2020-05-02T20:00:00Z,2418,NA,235376,235376,235376,42,64,0,6594,1334,7928,2020-03-16,Early,Pennsylvania,Democrat,Republican,Republican,Democrat,Appointed,TRUE,Northeast,12801989,47,0.20522483175854803,0.02840050243767431,-0.0062383685947499535,0.03485631880693609,NA,0.027187765505522515
RI,2020-05-02,9289,60639,NA,333,977,80,NA,54,NA,531,faa717ce7b5ec80cf6bd9b1dcd1acfd6cf837d1e,2020-05-02T20:00:00Z,296,977,69928,69928,69928,44,17,40,2953,327,3280,2020-03-23,Late,Rhode Island,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,1059361,40,0.13283663196430615,0.036487391207319794,-0.01212945218299487,0.04921377985836034,0.042689434364994665,0.06093189964157706
