state,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,StateClosureStartDate,ClosureDateCat,Location,Governor.Political.Affiliation,State.Senate.Majority.Political.Affiliation,State.House.Majority.Political.Affiliation,State.Attorney.General.Political.Affiliation,State.Insurance.Commissioner.Political.Affiliation,closed,Region,POPESTIMATE2019,date_diff,percent_positive,positive_percent_change,percent_positive_percent_change,total_tests_percent_cange,hospitalized_percent_change,death_percent_change
SD,2020-04-04,212,5012,1,NA,19,NA,NA,NA,NA,76,f4760a4f2592a21960fa3a320e23904bd1425fe8,2020-04-04T20:00:00Z,2,19,5225,5224,5224,46,0,2,419,25,444,2020-03-16,Middle,South Dakota,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,884659,19,0.04057416267942584,0.13368983957219252,0.03778728143850283,0.09241062094919507,0.11764705882352941,0
TN,2020-04-04,3321,38070,NA,NA,311,NA,NA,NA,NA,416,9a4555b4ea0d32017009e836958512d05cc69e17,2020-04-04T20:00:00Z,43,311,41391,41391,41391,47,6,18,3298,254,3552,2020-03-20,Late,Tennessee,Republican,Republican,Republican,Appointed,Appointed,TRUE,South,6829174,15,0.08023483365949119,0.08281708509944571,-0.010105678602543211,0.09387140252120828,0.06143344709897611,0.16216216216216217
TX,2020-04-04,6110,57641,NA,196,NA,NA,NA,NA,NA,38,48b48de447638a10ca85269ada674586a07c6519,2020-04-04T20:00:00Z,105,NA,63751,63751,63751,48,15,0,7207,780,7987,2020-03-23,Late,Texas,Republican,Republican,Republican,Republican,Appointed,TRUE,South,28995881,12,0.09584163385672381,0.14634146341463414,0.002722866487054421,0.14322860626927766,NA,0.16666666666666666
UT,2020-04-04,1428,26615,NA,NA,117,NA,NA,NA,NA,NA,7488de1606fb85c66768cd77a8f5b6742325f57a,2020-04-04T20:00:00Z,8,117,28043,28043,28043,49,1,11,3613,182,3795,2020-03-16,Middle,Utah,Republican,Republican,Republican,Republican,Appointed,TRUE,West,3205958,19,0.050921798666333846,0.14606741573033707,-0.009027462157303379,0.15650775321676014,0.10377358490566038,0.14285714285714285
VA,2020-04-04,2407,19145,NA,NA,390,NA,145,NA,108,NA,44eaf300e7ae68bb5f75324ab03882f20c0c5c6e,2020-04-04T20:00:00Z,52,390,21552,21552,21552,51,6,78,2152,395,2547,2020-03-16,Middle,Virginia,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,South,8535519,19,0.1116833704528582,0.1963220675944334,0.05494157398111341,0.134017363851618,0.25,0.13043478260869565
VT,2020-04-04,461,5383,NA,29,45,NA,NA,NA,NA,15,360482bd60b638d752907eee73f063bb7c1298f4,2020-04-04T20:00:00Z,20,45,5844,5844,5844,50,3,0,544,72,616,2020-03-18,Late,Vermont,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,623989,17,0.07888432580424366,0.18508997429305912,0.06017289544473011,0.11782708492731446,0,0.17647058823529413
WA,2020-04-04,7792,93529,NA,574,NA,174,NA,NA,NA,NA,7be57c3d7fb60b48033364b3ab548379469995d1,2020-04-04T20:00:00Z,365,NA,101321,101321,101321,53,27,0,2345,368,2713,2020-03-17,Middle,Washington,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,West,7614893,18,0.0769040968802124,0.04956896551724138,0.021465409075431156,0.02751298069122181,NA,0.07988165680473373
WI,2020-04-04,2112,23859,NA,NA,588,NA,NA,NA,NA,NA,53b4a4b3e0ef24896a5d026a80ca4246d6b4f550,2020-04-04T20:00:00Z,56,588,25971,25971,25971,55,19,101,1482,200,1682,2020-03-18,Late,Wisconsin,Democrat,Republican,Republican,Democrat,Appointed,TRUE,North Central,5822434,17,0.08132147395171538,0.10460251046025104,0.03306343200104599,0.0692494544855696,0.20739219712525667,0.5135135135135135
WV,2020-04-04,282,7404,NA,NA,NA,NA,NA,NA,NA,NA,d80af5ae8b58e07f6c9ff6bc393c3d2280e539aa,2020-04-04T20:00:00Z,2,NA,7686,7686,7686,54,0,0,1274,45,1319,2020-03-16,Middle,West Virginia,Republican,Republican,Republican,Republican,Appointed,TRUE,South,1792147,19,0.03669008587041374,0.189873417721519,-0.014321613662447372,0.20716192869483274,NA,0
WY,2020-04-04,187,2945,NA,NA,23,NA,NA,NA,NA,49,415d73e6e2ac994fdc01d676595fb7ac5b666b1f,2020-04-04T20:00:00Z,0,23,3132,3132,3132,56,0,2,241,25,266,2020-03-20,Late,Wyoming,Republican,Republican,Republican,Appointed,Appointed,TRUE,West,578759,15,0.05970625798212005,0.15432098765432098,0.056284786592592506,0.0928122819260293,0.09523809523809523,NaN
AK,2020-04-03,157,5859,NA,NA,15,NA,NA,NA,NA,NA,192f851a8f9b68576ed308814322d1333b538699,2020-04-03T20:00:00Z,3,15,6016,6016,6016,02,0,6,980,14,994,2020-03-16,Early,Alaska,Republican,Republican,Republican,Appointed,Appointed,TRUE,West,731545,18,0.026097074468085107,0.0979020979020979,-0.08349996064335656,0.19792911190760654,0.6666666666666666,0
AL,2020-04-03,1432,8187,NA,NA,NA,NA,NA,NA,NA,NA,2321b8fce440dd33ac0feef0e923113ffffbf603,2020-04-03T20:00:00Z,35,NA,9619,9619,9619,01,3,0,684,199,883,2020-03-19,Late,Alabama,Republican,Republican,Republican,Republican,Appointed,TRUE,South,4903185,15,0.14887202411893127,0.16139497161394972,0.05478183427737222,0.10107600732600733,NA,0.09375
AR,2020-04-03,704,8995,NA,71,105,NA,NA,26,39,60,a129a75b81c57893907409886ae725cdb64e4b2c,2020-04-03T20:00:00Z,12,105,9699,9699,9699,05,0,5,1115,61,1176,2020-03-17,Middle,Arkansas,Republican,Republican,Republican,Republican,Appointed,TRUE,South,3017804,17,0.07258480255696463,0.09486780715396578,-0.03788448527371687,0.1379795846532911,0.05,0
AZ,2020-04-03,1769,22904,NA,NA,NA,NA,NA,NA,NA,NA,2034453edd5b83833266bd4b71eb40738571fb8e,2020-04-03T20:00:00Z,41,NA,24673,24673,24673,04,9,0,1793,171,1964,2020-03-16,Early,Arizona,Republican,Republican,Republican,Republican,Appointed,TRUE,West,7278717,18,0.07169780731974223,0.10700876095118898,0.018889548913016398,0.08648553436963319,NA,0.28125
CA,2020-04-03,10701,24599,59500,2188,NA,901,NA,NA,NA,NA,67f105bfa3690e07b85e362a0c6c43aa796aba45,2020-04-03T20:00:00Z,237,NA,94800,35300,35300,06,34,0,790,1510,2300,2020-03-19,Late,California,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,West,39512223,15,0.11287974683544304,0.16429115439016428,0.13604358584484824,0.024864864864864864,NA,0.16748768472906403
CO,2020-04-03,3728,16683,NA,739,710,NA,NA,NA,NA,NA,7fabb770d24cefb51234aade04a64761abbb9ebd,2020-04-03T20:00:00Z,97,710,20411,20411,20411,08,17,90,1380,386,1766,2020-03-23,Late,Colorado,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,5758736,11,0.18264661212091518,0.11549970077797726,0.018984464614003726,0.09471708232770179,0.14516129032258066,0.2125
CT,2020-04-03,4914,15101,NA,909,NA,NA,NA,NA,NA,NA,1951d0ca03e6ab2d9bffc4856b060402c69ea7e6,2020-04-03T20:00:00Z,131,NA,20015,20015,20015,09,19,0,625,1090,1715,2020-03-17,Middle,Connecticut,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,3565287,17,0.24551586310267298,0.2850418410041841,0.1749320849633891,0.09371584699453551,NA,0.16964285714285715
DE,2020-04-03,450,4995,NA,63,NA,NA,NA,NA,NA,71,b840b5921e6e7a1adc67cdefd1c22f4e046d277a,2020-04-03T20:00:00Z,14,NA,5445,5445,5445,10,2,0,429,57,486,2020-03-16,Early,Delaware,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,South,973764,18,0.08264462809917356,0.1450381679389313,0.04283641285496178,0.09800362976406533,NA,0.16666666666666666
FL,2020-04-03,9585,82137,1225,NA,1287,NA,NA,NA,NA,NA,b57074c59ada3265eae0eff0d8740ad16a99e8cd,2020-04-03T20:00:00Z,163,1287,92947,91722,91722,12,35,164,12851,1575,14426,2020-03-16,Early,Florida,Republican,Republican,Republican,Republican,Appointed,TRUE,South,21477737,18,0.10312328531313544,0.19662921348314608,0.011676761371410703,0.18281772947659103,0.1460373998219056,0.2734375
GA,2020-04-03,5831,19434,NA,NA,1158,NA,NA,NA,NA,NA,c82f88637af7d0c85b2360390bb2386b0da43065,2020-04-03T20:00:00Z,184,1158,25265,25265,25265,13,21,102,1825,483,2308,2020-03-18,Middle,Georgia,Republican,Republican,Republican,Republican,Appointed,TRUE,South,10617423,16,0.23079358796754404,0.09031413612565445,-0.009287883373971656,0.1005357842923727,0.09659090909090909,0.12883435582822086
HI,2020-04-03,285,10206,NA,NA,15,NA,6,NA,NA,72,1c81c643bccf41f562ee8a0b1565f639a71e5cb7,2020-04-03T20:00:00Z,2,15,10491,10491,10491,15,1,0,0,27,27,2020-03-23,Late,Hawaii,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,West,1415872,11,0.027166142407778097,0.10465116279069768,0.10180817786046509,0.0025802752293577983,0,1
IA,2020-04-03,699,8754,NA,80,138,NA,NA,NA,NA,188,feb894b5b255cf3a6496c9856b448a6307f9b022,2020-04-03T20:00:00Z,11,138,9453,9453,9453,19,0,18,700,85,785,2020-03-16,Early,Iowa,Republican,Republican,Republican,Democrat,Appointed,TRUE,North Central,3155070,18,0.07394477943509997,0.13843648208469056,0.043897955003257445,0.0905629903091832,0.15,0
ID,2020-04-03,891,7054,NA,NA,56,NA,7,NA,NA,NA,a3f3c21c0ca004354535ce3e1e5108d313bd5a30,2020-04-03T20:00:00Z,9,56,7945,7945,7945,16,0,7,441,222,663,2020-03-23,Late,Idaho,Republican,Republican,Republican,Republican,Appointed,TRUE,West,1787065,11,0.11214600377595972,0.33183856502242154,0.22069835744095656,0.09104641581982972,0.14285714285714285,0
IL,2020-04-03,8904,39144,NA,NA,NA,NA,NA,NA,NA,NA,5393eb554824524a4a63bbec9c795869c7869414,2020-04-03T20:00:00Z,210,NA,48048,48048,48048,17,53,0,3183,1209,4392,2020-03-17,Middle,Illinois,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,North Central,12671821,17,0.1853146853146853,0.1571150097465887,0.05134475482261216,0.10060472787245739,NA,0.3375796178343949
IN,2020-04-03,3437,14398,NA,NA,NA,NA,NA,NA,NA,NA,b6a582ed478dfba401e4a56efe6e9e4a1b532d04,2020-04-03T20:00:00Z,102,NA,17835,17835,17835,18,24,0,1152,398,1550,2020-03-19,Late,Indiana,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,6732219,15,0.19271096159237455,0.1309641329384666,0.03267456932214554,0.09517961314092724,NA,0.3076923076923077
KS,2020-04-03,620,6454,NA,NA,151,NA,NA,NA,NA,NA,423f188ae5bf45319e336f75b49a3708bdbc8494,2020-04-03T20:00:00Z,17,151,7074,7074,7074,20,4,13,395,68,463,2020-03-18,Middle,Kansas,Democrat,Republican,Republican,Republican,Republican,TRUE,North Central,2913314,16,0.08764489680520215,0.12318840579710146,0.049674663164855123,0.07003479050068068,0.09420289855072464,0.3076923076923077
KY,2020-04-03,770,12034,NA,NA,NA,NA,NA,NA,NA,NA,b7ec08543b9b2324d60694f6721979dc00c54543,2020-04-03T20:00:00Z,31,NA,12804,12804,12804,21,11,0,4814,90,4904,2020-03-16,Early,Kentucky,Democrat,Republican,Republican,Republican,Appointed,TRUE,South,4467673,18,0.06013745704467354,0.1323529411764706,-0.30134424955882355,0.6207594936708861,NA,0.55
LA,2020-04-03,10297,43348,NA,1707,NA,NA,NA,535,NA,NA,67272131caf7c308a8c118046b0f4720f48b292a,2020-04-03T20:00:00Z,370,NA,53645,53645,53645,22,60,0,1412,1147,2559,2020-03-16,Early,Louisiana,Democrat,Republican,Republican,Republican,Republican,TRUE,South,4648794,18,0.19194705937179607,0.1253551912568306,0.07167294601901641,0.05009200172258545,NA,0.1935483870967742
MA,2020-04-03,10303,52685,NA,NA,966,NA,NA,NA,NA,NA,1af458b8004ff96bbec2b2873d34902038eb815c,2020-04-03T20:00:00Z,265,966,62988,62988,62988,25,36,153,4918,1436,6354,2020-03-17,Middle,Massachusetts,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,6892503,17,0.16357083888994728,0.16194879891733394,0.04473563729852253,0.11219408835681746,0.1881918819188192,0.1572052401746725
MD,2020-04-03,2758,20932,NA,NA,664,NA,NA,NA,NA,159,748f7091af15d9ca085a92ba09b7390f763b6eb5,2020-04-03T20:00:00Z,42,664,23690,23690,23690,24,6,82,2042,427,2469,2020-03-16,Early,Maryland,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,South,6045680,18,0.11642043056141832,0.1831831831831832,0.059870427392106455,0.11634701474954055,0.140893470790378,0.16666666666666666
ME,2020-04-03,432,6088,NA,NA,75,NA,NA,NA,NA,113,4b5209b1b8259d319beb467d9b74d759206853f8,2020-04-03T20:00:00Z,9,75,6520,6520,6520,23,2,7,0,56,56,2020-04-02,Late,Maine,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,Northeast,1344212,1,0.06625766871165645,0.14893617021276595,0.1390680117446809,0.008663366336633664,0.10294117647058823,0.2857142857142857
MI,2020-04-03,15252,33670,NA,NA,NA,NA,NA,NA,NA,56,6d7b1e9deef1dc89156d45d3791fd07684b2b368,2020-04-03T20:00:00Z,479,NA,48922,48922,48922,26,62,0,3302,1135,4437,2020-03-16,Early,Michigan,Democrat,Republican,Republican,Democrat,Appointed,TRUE,North Central,9986857,18,0.31176157965741386,0.08039951831125593,-0.017587739158461402,0.09974148589412161,NA,0.1486810551558753
MN,2020-04-03,789,23438,NA,86,156,40,40,NA,NA,NA,6c45e5c1cc14d97b2d8c49fc1e64ae7a7ebb3861,2020-04-03T20:00:00Z,22,156,24227,24227,24227,27,4,18,1786,47,1833,2020-03-18,Middle,Minnesota,Democrat,Republican,Democrat,Democrat,Appointed,TRUE,North Central,5639632,16,0.03256697073513023,0.06334231805929919,-0.017109503269541783,0.08185228186121282,0.13043478260869565,0.2222222222222222
MO,2020-04-03,2113,19357,NA,NA,NA,NA,NA,NA,NA,NA,4b8f07be28b3788c1fbf8838dfb55730f628b262,2020-04-03T20:00:00Z,19,NA,21470,21470,21470,29,0,0,1508,279,1787,2020-03-19,Late,Missouri,Republican,Republican,Republican,Appointed,Appointed,TRUE,North Central,6137428,15,0.0984163949697252,0.15212649945474374,0.056232226164122136,0.09078900574099477,NA,0
MS,2020-04-03,1358,4753,NA,NA,420,NA,NA,NA,NA,NA,8fa26347da7a40d2568c9ec1881dcb83d4ba139c,2020-04-03T20:00:00Z,29,420,6111,6111,6111,28,3,60,0,181,181,2020-03-20,Late,Mississippi,Republican,Republican,Republican,Democrat,Republican,TRUE,South,2976149,14,0.2222222222222222,0.15378079864061173,0.11960728671197957,0.030522765598650928,0.16666666666666666,0.11538461538461539
MT,2020-04-03,243,5333,NA,NA,24,NA,NA,NA,NA,NA,58d29fc14826e53d165af859f9d3b6aa2a562cd4,2020-04-03T20:00:00Z,5,24,5576,5576,5576,30,0,4,240,16,256,2020-03-16,Early,Montana,Democrat,Republican,Republican,Republican,Republican,TRUE,West,1068778,18,0.043579626972740315,0.07048458149779736,0.02133751383259914,0.0481203007518797,0.2,0
NC,2020-04-03,2093,29505,NA,184,NA,NA,NA,NA,NA,NA,f9a94cae7cfc07dcd853c4ffe5b95a6a7fb2b91c,2020-04-03T20:00:00Z,19,NA,31598,31598,31598,37,3,0,2683,236,2919,2020-03-16,Early,North Carolina,Democrat,Republican,Republican,Democrat,Republican,TRUE,South,10488084,18,0.06623836951705804,0.12708669897684438,0.022967266144318776,0.10178179155479619,NA,0.1875
ND,2020-04-03,173,5625,NA,NA,29,NA,NA,NA,NA,55,84ef01d179db6bf5d01711b8006489518c3cb319,2020-04-03T20:00:00Z,3,29,5798,5798,5798,38,0,1,804,14,818,2020-03-16,Early,North Dakota,Republican,Republican,Republican,Republican,Republican,TRUE,North Central,762062,18,0.02983787512935495,0.0880503144654088,-0.06545523584905662,0.1642570281124498,0.03571428571428571,0
NE,2020-04-03,279,4487,11,NA,NA,NA,NA,NA,NA,NA,4afd0964d77f63c02401a16e57510b1d974e875d,2020-04-03T20:00:00Z,6,NA,4777,4766,4766,31,1,0,509,33,542,2020-03-23,Late,Nebraska,Republican,N/A,N/A,Republican,Appointed,TRUE,North Central,1934408,11,0.058404856604563536,0.13414634146341464,0.0054657292479674295,0.12798110979929161,NA,0.2
NH,2020-04-03,479,6575,114,NA,73,NA,NA,NA,NA,101,d868c7b35e0058b0fc967b11ce603223586ff8a4,2020-04-03T20:00:00Z,5,73,7168,7054,7054,33,1,15,497,64,561,2020-03-16,Early,New Hampshire,Republican,Democrat,Democrat,Appointed,Appointed,TRUE,Northeast,1359711,18,0.06682477678571429,0.15421686746987953,0.06581493726024104,0.08294304275570327,0.25862068965517243,0.25
NJ,2020-04-03,29895,37608,NA,3016,NA,NA,NA,NA,NA,NA,03c9451e42a8c786a5cf424ad0fbfb412981e80b,2020-04-03T20:00:00Z,646,NA,67503,67503,67503,34,109,0,4088,4305,8393,2020-03-18,Middle,New Jersey,Democrat,Democrat,Democrat,Appointed,Appointed,TRUE,Northeast,8882190,16,0.442869205813075,0.1682297772567409,0.02297767747792114,0.14198951108103536,NA,0.20297951582867785
NM,2020-04-03,403,14375,NA,31,NA,NA,NA,NA,NA,26,09eb92561715a0365bc92c3a3b35f0c08b82690e,2020-04-03T20:00:00Z,7,NA,14778,14778,14778,35,1,0,727,40,767,2020-03-16,Early,New Mexico,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,2096829,18,0.02727026661253214,0.11019283746556474,0.05257220643801663,0.05474270216258654,NA,0.16666666666666666
NV,2020-04-03,1514,13018,NA,NA,NA,NA,NA,NA,NA,NA,b06428c9678bd268d2992c491635ac82ec96bf35,2020-04-03T20:00:00Z,43,NA,14532,14532,14532,32,5,0,430,56,486,2020-03-16,Early,Nevada,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,3080156,18,0.10418387007982384,0.038408779149519894,0.0036808216872428324,0.03460059803502777,NA,0.13157894736842105
NY,2020-04-03,102863,157657,NA,14810,23696,3731,NA,NA,NA,8886,3581ea3846e784ce3996c873effe694f50617310,2020-04-03T20:00:00Z,2935,23696,260520,260520,260520,36,562,2879,11073,10482,21555,2020-03-18,Middle,New York,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,19453561,16,0.39483724857976354,0.11346488996655156,0.021338621656888265,0.09020149394262758,0.1383004275351876,0.23683101559207753
OH,2020-04-03,3312,35063,NA,NA,895,NA,288,NA,NA,NA,4f9def22c6f51b8839104ffcb46d41122de71744,2020-04-03T20:00:00Z,91,895,38375,38375,38375,39,10,93,3047,410,3457,2020-03-17,Middle,Ohio,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,11689100,17,0.08630618892508143,0.14128187456926258,0.038469850965541064,0.0990033793458961,0.11596009975062344,0.12345679012345678
OK,2020-04-03,988,1315,NA,171,289,123,NA,NA,NA,383,ce94ae6cd03042a8be757810176e3101087d0ee9,2020-04-03T20:00:00Z,38,289,2303,2303,2303,40,4,32,50,109,159,2020-03-17,Middle,Oklahoma,Republican,Republican,Republican,Republican,Republican,TRUE,South,3956971,17,0.4290056448111159,0.12400455062571103,0.04640284741751986,0.07416044776119403,0.1245136186770428,0.11764705882352941
OR,2020-04-03,899,16535,NA,188,204,NA,NA,38,NA,NA,bc8939b3d2eaa3d2307a465344d028859fb57771,2020-04-03T20:00:00Z,22,204,17434,17434,17434,41,1,16,1276,73,1349,2020-03-16,Early,Oregon,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,4217737,18,0.05156590570150281,0.08837772397094432,0.004161740932203406,0.08386695679204227,0.0851063829787234,0.047619047619047616
PA,2020-04-03,8420,53695,NA,NA,852,NA,NA,NA,NA,NA,aade9d40167b6e73754871c40386092b362363a2,2020-04-03T20:00:00Z,102,852,62115,62115,62115,42,12,122,5997,1404,7401,2020-03-16,Early,Pennsylvania,Democrat,Republican,Republican,Democrat,Appointed,TRUE,Northeast,12801989,18,0.1355550189165258,0.20011402508551882,0.057120483119441234,0.13526702489308037,0.16712328767123288,0.13333333333333333
RI,2020-04-03,709,4857,NA,77,NA,14,NA,6,NA,35,0f4d117ec3f26dff910fff56bd42e00ac645986c,2020-04-03T20:00:00Z,14,NA,5566,5566,5566,44,2,0,445,52,497,2020-03-23,Late,Rhode Island,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,1059361,11,0.1273805246137262,0.0791476407914764,-0.017211748515981864,0.0980469520615506,NA,0.16666666666666666
SC,2020-04-03,1554,5441,NA,NA,241,NA,NA,NA,NA,NA,83a9526f05767b32166dffbd1c0668fe1e12c1b5,2020-04-03T20:00:00Z,31,241,6995,6995,6995,45,0,-655,0,0,0,2020-03-16,Middle,South Carolina,Republican,Republican,Republican,Republican,Appointed,TRUE,South,5148714,18,0.22215868477483916,0,1.013513537181335e-9,0,-0.7310267857142857,0
SD,2020-04-03,187,4593,3,NA,17,NA,NA,NA,NA,69,aa416c771bd2c9e919678126e5564dbe952c2e46,2020-04-03T20:00:00Z,2,17,4783,4780,4780,46,0,0,376,22,398,2020-03-16,Middle,South Dakota,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,884659,18,0.039096801170813295,0.13333333333333333,0.03831625443636364,0.09151072569602921,0,0
TN,2020-04-03,3067,34772,NA,NA,293,NA,NA,NA,NA,248,019351b10edda80786a653adea2799cab1992e8a,2020-04-03T20:00:00Z,37,293,37839,37839,37839,47,5,30,3006,222,3228,2020-03-20,Late,Tennessee,Republican,Republican,Republican,Appointed,Appointed,TRUE,South,6829174,14,0.0810539390575861,0.07803163444639719,-0.013933960376449912,0.0932651469186097,0.11406844106463879,0.15625
TX,2020-04-03,5330,50434,NA,196,NA,NA,NA,NA,NA,38,d995c4ec3f315bd5c26553907caa07bff418a7d9,2020-04-03T20:00:00Z,90,NA,55764,55764,55764,48,20,0,4424,661,5085,2020-03-23,Late,Texas,Republican,Republican,Republican,Republican,Appointed,TRUE,South,28995881,11,0.09558137866724051,0.1415720711073035,0.03747455693745982,0.10033741786538804,NA,0.2857142857142857
UT,2020-04-03,1246,23002,NA,NA,106,NA,NA,NA,NA,NA,be88433eea3c0ab307191b78f63c45fe05615642,2020-04-03T20:00:00Z,7,106,24248,24248,24248,49,0,6,2847,172,3019,2020-03-16,Middle,Utah,Republican,Republican,Republican,Republican,Appointed,TRUE,West,3205958,18,0.05138568129330254,0.1601489757914339,0.015704489710428364,0.14221112628950963,0.06,0
VA,2020-04-03,2012,16993,NA,NA,312,NA,145,NA,108,NA,cb349d06a8404e8ea589d4d05f5ae53dfdbd1692,2020-04-03T20:00:00Z,46,312,19005,19005,19005,51,5,7,1110,306,1416,2020-03-16,Middle,Virginia,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,South,8535519,18,0.10586687713759536,0.17936694021101993,0.09149618965592024,0.08050486099266588,0.022950819672131147,0.12195121951219512
VT,2020-04-03,389,4839,NA,29,45,NA,NA,NA,NA,15,fd502b9dcb8608ca17ea5eecf37d01466c5f5389,2020-04-03T20:00:00Z,17,45,5228,5228,5228,50,0,0,128,51,179,2020-03-18,Late,Vermont,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,623989,16,0.074407039020658,0.15088757396449703,0.1114826624585798,0.03545256486432957,0,0
WA,2020-04-03,7424,91184,NA,NA,NA,NA,NA,NA,NA,NA,795071366777f29eee9beabf227e00db0f02345a,2020-04-03T20:00:00Z,338,NA,98608,98608,98608,53,28,0,4295,531,4826,2020-03-17,Middle,Washington,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,West,7614893,17,0.07528800908648385,0.0770346728565211,0.02432323517162335,0.05145976839905312,NA,0.09032258064516129
WI,2020-04-03,1912,22377,NA,NA,487,NA,NA,NA,NA,NA,ac2e774ab91aaf87bd106a4d19ddc35d0a14d163,2020-04-03T20:00:00Z,37,487,24289,24289,24289,55,6,26,2060,182,2242,2020-03-18,Late,Wisconsin,Democrat,Republican,Republican,Democrat,Appointed,TRUE,North Central,5822434,16,0.07871876157931575,0.10520231213872833,0.0031864426670519964,0.10169184015965892,0.05639913232104121,0.1935483870967742
WV,2020-04-03,237,6130,NA,NA,1,NA,NA,NA,NA,NA,0d5735f82295c4874f145fbc22684001af9837e6,2020-04-03T20:00:00Z,2,1,6367,6367,6367,54,0,0,854,20,874,2020-03-16,Middle,West Virginia,Republican,Republican,Republican,Republican,Appointed,TRUE,South,1792147,18,0.03722318203235433,0.09216589861751152,-0.05775604273732713,0.1591115965774622,0,0
WY,2020-04-03,162,2704,NA,NA,21,NA,NA,NA,NA,37,3fa4d519d76a3a9a53f819f66887a8a4f7587958,2020-04-03T20:00:00Z,0,21,2866,2866,2866,56,0,2,265,12,277,2020-03-20,Late,Wyoming,Republican,Republican,Republican,Appointed,Appointed,TRUE,West,578759,14,0.056524773203070484,0.08,-0.024382418020000053,0.10699111626110468,0.10526315789473684,NaN
AK,2020-04-02,143,4879,NA,NA,9,NA,NA,NA,NA,NA,87a29f5de0e12ea1b772006bfa38cdee3327489e,2020-04-02T20:00:00Z,3,9,5022,5022,5022,02,0,0,409,10,419,2020-03-16,Early,Alaska,Republican,Republican,Republican,Appointed,Appointed,TRUE,West,731545,17,0.028474711270410194,0.07518796992481203,-0.014518084714285673,0.09102759070171627,0,0
AL,2020-04-02,1233,7503,NA,NA,NA,NA,NA,NA,NA,NA,1a78d31c95bd0d315fc61461107fcd8c66e53b43,2020-04-02T20:00:00Z,32,NA,8736,8736,8736,01,6,0,806,156,962,2020-03-19,Late,Alabama,Republican,Republican,Republican,Republican,Appointed,TRUE,South,4903185,14,0.1411401098901099,0.14484679665738162,0.018777358532962075,0.12374581939799331,NA,0.23076923076923078
AR,2020-04-02,643,7880,NA,66,100,NA,NA,23,32,47,d9bd463d4e0eec83d73a3185176ba4d9bb0e7a98,2020-04-02T20:00:00Z,12,100,8523,8523,8523,05,2,10,526,59,585,2020-03-17,Middle,Arkansas,Republican,Republican,Republican,Republican,Appointed,TRUE,South,3017804,16,0.07544291915992021,0.10102739726027397,0.0254552928458904,0.07369614512471655,0.1111111111111111,0.2
AZ,2020-04-02,1598,21111,NA,NA,NA,NA,NA,NA,NA,NA,6e70cfc7ece882cb642606ef4d42687c36b5f6cc,2020-04-02T20:00:00Z,32,NA,22709,22709,22709,04,3,0,1466,185,1651,2020-03-16,Early,Arizona,Republican,Republican,Republican,Republican,Appointed,TRUE,West,7278717,17,0.07036857633537363,0.13092710544939845,0.04870592597876871,0.07840250736062304,NA,0.10344827586206896
CA,2020-04-02,9191,23809,59500,1922,NA,816,NA,NA,NA,NA,99877fe91b05bb13daef3f63c02c50d2a271e7f5,2020-04-02T20:00:00Z,203,NA,92500,33000,33000,06,32,0,2037,1036,3073,2020-03-19,Late,California,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,West,39512223,14,0.09936216216216216,0.12703862660944207,0.06400975119239732,0.05923712024917838,NA,0.1871345029239766
CO,2020-04-02,3342,15303,NA,698,620,NA,NA,NA,NA,NA,54c77e38711f0c15356f554fa669ccfb4f8e6f50,2020-04-02T20:00:00Z,80,620,18645,18645,18645,08,11,111,1420,376,1796,2020-03-23,Late,Colorado,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,5758736,10,0.17924376508447304,0.126770060687795,0.01823270279332441,0.10659386313727817,0.2180746561886051,0.15942028985507245
